Date,Voucher,Party,Product,Qty,Rate
2017-04-03,10,SVS-ALR,5*6 ANKIT(20MIC),210,21.0
2017-04-03,10,SVS-ALR,PP +7*9,5,133.0
2017-04-03,10,SVS-ALR,PP +(8*10),5,133.0
2017-04-03,10,SVS-ALR,N0-5,2,144.0
2017-04-03,10,SVS-ALR,NO-0,1,144.0
2017-04-03,10,SVS-ALR,NO-2,1,144.0
2017-04-03,10,SVS-ALR,NO-3,1,144.0
2017-04-03,10,SVS-ALR,NO-00,1,144.0
2017-04-03,11,SANDHYA PLASTICS-PD,BLACK DOG-350ML,50,25.0
2017-04-03,11,SANDHYA PLASTICS-PD,DURGA 10*12 BLUE,50,5.5
2017-04-03,12,SUNDHA PLASTICS,LITE FOAM(1200),10,1620.0
2017-04-03,12,SUNDHA PLASTICS,DONA-VAI-9100,5,1690.0
2017-04-03,12,SUNDHA PLASTICS,90ML RANGEELA,300,14.5
2017-04-03,12,SUNDHA PLASTICS,LARGE BOWL-ESSFOAM,2,1940.0
2017-04-03,13,SARNESWARA TRADERS,SMARTBOUL-GLA(3500),3,1400.0
2017-04-03,14,SRINU,SILV-CONT-450ML(150,1,2350.0
2017-04-03,14,SRINU,SILV-CONT-750ML(100,1,2350.0
2017-04-03,14,SRINU,HIGH COUNT 10*12,5,140.0
2017-04-03,14,SRINU,DURGA 10*12 BK,400,5.5
2017-04-03,14,SRINU,DURGA 10*12 CL,400,5.7
2017-04-03,15,MSR,CLASSIC 250ML,200,24.0
2017-04-03,15,MSR,SMART BOWL(3500),1,1610.0
2017-04-03,15,MSR,MEDIUM BOUL CLA(540,1,2270.0
2017-04-03,17,NAGESWARAO,TIRUMALA-50(13*16),200,14.0
2017-04-03,17,NAGESWARAO,10*10 MORE,10,137.0
2017-04-03,17,NAGESWARAO,CYCLE 10*12 BK KG,11,85.0
2017-04-03,17,NAGESWARAO,FANCY IC,10,20.0
2017-04-03,18,BALAJI PLASTICS,LITE FOAM(1200),10,1620.0
2017-04-03,18,BALAJI PLASTICS,DONA-VAI-9100,5,1690.0
2017-04-03,18,BALAJI PLASTICS,90ML RANGEELA,300,14.5
2017-04-03,19,KHAN AND KHAN PLAST,PRINT-10*12 CAR,2,100.0
2017-04-03,20,VENKATESWARLU-VIJAY,CYCLE 13*16 BK KG,50,77.0
2017-04-03,20,VENKATESWARLU-VIJAY,ROBO 10*12,400,4.1
2017-04-03,21,MR,VISHNU 300ML,100,28.0
2017-04-03,21,MR,4*5 MEET,20,16.0
2017-04-03,22,KPR,4*5 MEET,556,14.5
2017-04-03,22,KPR,4*5 MEET,20,14.5
2017-04-03,22,KPR,SILVER PLATE 6,1000,3.6
2017-04-03,23,KNC,PP 8*10,5,132.0
2017-04-03,23,KNC,PP 6*8,20,132.0
2017-04-03,23,KNC,PP 7*8,10,132.0
2017-04-03,23,KNC,PP 5*7,3,132.0
2017-04-03,23,KNC,6*9 100 PCS,50,43.0
2017-04-03,23,KNC,7*10 100 PCS,50,50.0
2017-04-03,23,KNC,8*11 100 PCS,50,56.0
2017-04-03,24,SVP-BUCHHI,14 GREEN,6000,1.3
2017-04-03,24,SVP-BUCHHI,GARUDA 16*20 BLUE,40,24.0
2017-04-03,25,RAJASURESH,14 GREEN,1000,1.3
2017-04-03,25,RAJASURESH,TIRUMALA LEAF(9),9,355.0
2017-04-03,26,K.SRIHARI,CLASSIC 250ML(100),80,28.0
2017-04-03,26,K.SRIHARI,14 GREEN,3000,1.3
2017-04-03,27,MUNEER,TIFFIN PLATES-11NO-,100,19.0
2017-04-03,28,VENKATESWARA GENERA,GARUDA 16*20 BLUE,150,24.5
2017-04-03,28,VENKATESWARA GENERA,NO-1,2,145.0
2017-04-03,28,VENKATESWARA GENERA,NO-2,1,145.0
2017-04-03,28,VENKATESWARA GENERA,NO-0,1,145.0
2017-04-03,28,VENKATESWARA GENERA,NO-3,1,145.0
2017-04-03,28,VENKATESWARA GENERA,VISHNU 250ML,50,30.0
2017-04-03,28,VENKATESWARA GENERA,BLACK DOG-350ML,50,26.0
2017-04-03,29,VLP,HIGH COUNT 10*12,20,134.0
2017-04-03,29,VLP,HIGH COUNT 13*16,20,134.0
2017-04-03,29,VLP,HIGH COUNT 16*20,20,134.0
2017-04-03,29,VLP,NAPKEEN 2ND,375,9.0
2017-04-03,29,VLP,RASNA COVER,30,144.0
2017-04-03,30,MANCHIKANTI HARI,STRECH FILM-600MTRS,24,450.0
2017-04-03,30,MANCHIKANTI HARI,TIFFIN PLATES NO-7,600,10.0
2017-04-03,30,MANCHIKANTI HARI,SILVER POUCH 7*9,15,180.0
2017-04-03,30,MANCHIKANTI HARI,VAT AMOUNT,1,975.0
2017-04-03,43,GV,CHANDRA 75ML TEA,190,12.0
2017-04-03,44,SVR,NO-0,5,140.0
2017-04-03,44,SVR,N0-5,5,140.0
2017-04-03,44,SVR,NO-2,5,140.0
2017-04-03,44,SVR,NO-3,5,140.0
2017-04-03,44,SVR,NO-10,3,140.0
2017-04-03,44,SVR,12GREEN BUFFET,3000,1.15
2017-04-03,197,TP13,CLASSIC ENJOY(750),1,1320.0
2017-04-03,197,TP13,10*12 KRISHNA-BK(10,400,8.3
2017-04-03,197,TP13,CHANDRA 75ML TEA,190,11.25
2017-04-03,197,TP13,BLACK DOG-350ML,100,25.0
2017-04-03,197,TP13,LOOSE ITEMS,14,45.0
2017-04-03,197,TP13,LITE FOAM(1200),1,1620.0
2017-04-03,197,TP13,SILVER TONE 10*12 W,10,17.0
2017-04-03,197,TP13,LOOSE ITEMS,10,75.0
2017-04-03,197,TP13,CLASSIC 250ML(100),20,28.0
2017-04-03,197,TP13,90ML RANGEELA,140,14.5
2017-04-03,197,TP13,LOOSE ITEMS,10,40.0
2017-04-03,198,TP13,VISHNU 300ML,100,27.5
2017-04-03,199,K.SRIHARI,VISHNU 250ML,200,30.0
2017-04-03,201,PGS,VISHNU 250ML,100,30.0
2017-04-03,201,PGS,14 GREEN,1000,1.35
2017-04-03,202,K.SRIHARI,LITE FOAM(1200),2,1680.0
2017-04-04,31,CHEKKA SUDHAKAR,13*16 WHITE RK,300,16.0
2017-04-04,32,P.RAVI,CYCLE-BLU-10*12,350,7.0
2017-04-04,32,P.RAVI,CYCLE-BLU-10*12,50,7.0
2017-04-04,32,P.RAVI,10*10 MORE,25,137.0
2017-04-04,32,P.RAVI,GARUDA 16*20 BLUE,50,25.0
2017-04-04,33,LAVANYA FANCY,VISHNU 300ML,100,28.0
2017-04-04,33,LAVANYA FANCY,BLACK DOG-350ML,100,25.0
2017-04-04,33,LAVANYA FANCY,PAPER TEA-65ML(100),130,28.0
2017-04-04,33,LAVANYA FANCY,CYCLE-BLU-10*12,350,7.0
2017-04-04,33,LAVANYA FANCY,CYCLE-BLU-10*12,50,7.0
2017-04-04,33,LAVANYA FANCY,4*5 TRISUL,50,15.0
2017-04-04,33,LAVANYA FANCY,20 *26 BLUE,10,60.0
2017-04-04,34,BRHAMADEVI SUDHEER,22MRP THREADS,24,14.0
2017-04-04,34,BRHAMADEVI SUDHEER,DHARAM 1/2KG SPECIA,10,75.0
2017-04-04,34,BRHAMADEVI SUDHEER,4*5 MEET,100,16.0
2017-04-04,34,BRHAMADEVI SUDHEER,5*6 POLY,20,21.0
2017-04-04,34,BRHAMADEVI SUDHEER,5*7 ESWAR,5,150.0
2017-04-04,34,BRHAMADEVI SUDHEER,PAPER TEA -AL,150,21.0
2017-04-04,34,BRHAMADEVI SUDHEER,SUPER ROPE(SPECIAL),5,47.0
2017-04-04,35,DSP-SEKHAR,NIFTY 10*12 PINK,1800,5.7
2017-04-04,35,DSP-SEKHAR,ROBO 10*12,1600,4.6
2017-04-04,35,DSP-SEKHAR,BULLET 10*12,800,4.0
2017-04-04,35,DSP-SEKHAR,CYCLE 13*16 BK KG,25,77.0
2017-04-04,35,DSP-SEKHAR,ROBO 13*16 BLUE,200,10.0
2017-04-04,35,DSP-SEKHAR,CLASSIC ENJOY(750),6,1320.0
2017-04-04,35,DSP-SEKHAR,SMITH 4*5 POLY,939,12.5
2017-04-04,35,DSP-SEKHAR,5*6 POLY,230,18.0
2017-04-04,36,INAMADUGU-VENKAYYA,TIRUMALA-50(13*16),200,14.0
2017-04-04,36,INAMADUGU-VENKAYYA,APPLE WATER,100,21.0
2017-04-04,37,LAVANYA FANCY,14 GREEN,1000,1.3
2017-04-04,37,LAVANYA FANCY,LITE FOAM(1200),1,1680.0
2017-04-04,37,LAVANYA FANCY,10*10 MORE,25,137.0
2017-04-04,37,LAVANYA FANCY,TIFFIN PLATENO-10,50,17.0
2017-04-04,37,LAVANYA FANCY,SNACKS PLATES,50,15.0
2017-04-04,38,DSP-SEKHAR,LEAF DONA BIG,1,390.0
2017-04-04,38,DSP-SEKHAR,NO-10,1,150.0
2017-04-04,39,TVR,5*6 POLY,210,18.0
2017-04-04,40,VENKATASETTY-PDKR,PAPER TEA 80ML LONG,130,32.0
2017-04-04,40,VENKATASETTY-PDKR,24 * 30 BLUE,5,80.0
2017-04-04,41,BSR,LITE FOAM(1200),1,1680.0
2017-04-04,41,BSR,CYCLE-BLU-10*12,350,7.0
2017-04-04,41,BSR,CYCLE-BLU-10*12,50,7.0
2017-04-04,42,VENKATESWARLU-MUTHU,PAPER TEA-65ML(100),130,28.0
2017-04-04,42,VENKATESWARLU-MUTHU,SILVER TONE 10*12 W,10,18.0
2017-04-04,45,ARVIND-VIDYANAGAR,APPLE WATER,400,22.0
2017-04-04,45,ARVIND-VIDYANAGAR,BLACK DOG-350ML,400,25.5
2017-04-04,45,ARVIND-VIDYANAGAR,APPLE 300ML,300,28.0
2017-04-04,45,ARVIND-VIDYANAGAR,FANCY IC,100,20.0
2017-04-04,46,DURGAHOTEL,TIRUMALA M.W 10*12,25,99.0
2017-04-04,46,DURGAHOTEL,TIRUMALA M.W 13*16,25,99.0
2017-04-04,46,DURGAHOTEL,TIRUMALA 16*20 M.W,25,99.0
2017-04-04,46,DURGAHOTEL,5*6 ANKIT(20MIC),210,18.0
2017-04-04,46,DURGAHOTEL,500ML PLASTIC BOULS,500,3.6
2017-04-04,46,DURGAHOTEL,SILV--450-LOOSE,1000,1.6
2017-04-04,47,KALLASUDHAKAR,VISHNU 300ML,100,28.0
2017-04-04,47,KALLASUDHAKAR,14 GREEN,200,1.35
2017-04-04,48,ARVIND-VIDYANAGAR,SMART BOWL(3500),1,1610.0
2017-04-04,48,ARVIND-VIDYANAGAR,DONA-VAI-9100,2,1730.0
2017-04-04,49,LAKSHMINARASIMHA TE,LITE FOAM(1200),2,1680.0
2017-04-04,49,LAKSHMINARASIMHA TE,CYCLE-BLU-13*16,500,12.0
2017-04-04,49,LAKSHMINARASIMHA TE,CYCLE-BLU-10*12,700,6.8
2017-04-04,49,LAKSHMINARASIMHA TE,CYCLE-BLU-10*12,100,6.8
2017-04-04,49,LAKSHMINARASIMHA TE,ROBO 10*12,400,4.8
2017-04-04,49,LAKSHMINARASIMHA TE,5*7 ESWAR,5,150.0
2017-04-04,49,LAKSHMINARASIMHA TE,ROLLS,200,15.0
2017-04-04,49,LAKSHMINARASIMHA TE,LARGE FANCY IC,70,18.5
2017-04-04,49,LAKSHMINARASIMHA TE,BLACK DOG-350ML,50,26.0
2017-04-04,49,LAKSHMINARASIMHA TE,ROBO 13*16 BLUE,200,10.0
2017-04-04,49,LAKSHMINARASIMHA TE,CYCLE-BLU-13*16,20,12.0
2017-04-04,50,VAMSI KRISHNA FANCY,SPOON-SMALL-NAT,50,9.0
2017-04-04,50,VAMSI KRISHNA FANCY,APPLE WINE,30,23.0
2017-04-04,50,VAMSI KRISHNA FANCY,APPLE 300ML(COLOUR),50,27.0
2017-04-04,50,VAMSI KRISHNA FANCY,TIFFIN PLATES NO-8,50,12.0
2017-04-04,50,VAMSI KRISHNA FANCY,NO-000,10,148.0
2017-04-04,50,VAMSI KRISHNA FANCY,NO-000,10,140.0
2017-04-04,50,VAMSI KRISHNA FANCY,DONA -LOOSE,50,19.0
2017-04-04,50,VAMSI KRISHNA FANCY,500ML PLASTIC BOULS,50,3.6
2017-04-04,50,VAMSI KRISHNA FANCY,VISHNU CHOTA WINE,20,25.0
2017-04-04,51,P.V.RAJA-VGIRI,CYCLE-BK-10*12,350,7.0
2017-04-04,51,P.V.RAJA-VGIRI,CYCLE-BK-10*12,50,7.0
2017-04-04,51,P.V.RAJA-VGIRI,13*16 BLACK RK,500,17.0
2017-04-04,51,P.V.RAJA-VGIRI,NO-00,5,142.0
2017-04-04,51,P.V.RAJA-VGIRI,NO-0,5,142.0
2017-04-04,51,P.V.RAJA-VGIRI,NO-1,5,142.0
2017-04-04,51,P.V.RAJA-VGIRI,NO-2,3,142.0
2017-04-04,51,P.V.RAJA-VGIRI,NO-3,2,142.0
2017-04-04,51,P.V.RAJA-VGIRI,N0-5,3,142.0
2017-04-04,52,NSR,14 GREEN,1000,1.3
2017-04-04,52,NSR,TIFFIN PLATES-11NO-,20,21.0
2017-04-04,52,NSR,TIFFIN PLATENO-10,30,18.0
2017-04-04,52,NSR,24 * 30 BLUE,5,80.0
2017-04-04,52,NSR,20 *26 BLUE,3,60.0
2017-04-04,52,NSR,VISHNU CHOTA WINE,100,25.0
2017-04-04,52,NSR,TIRUMALA-50(13*16),20,14.0
2017-04-04,52,NSR,GARUDA 16*20 BLUE,20,25.0
2017-04-04,53,HAMPI FOODS,TIRUMALA LEAF(9),27,400.0
2017-04-04,53,HAMPI FOODS,OKAY SPOONS,100,50.0
2017-04-04,53,HAMPI FOODS,500ML PLASTIC BOULS,2000,3.6
2017-04-04,53,HAMPI FOODS,250 ML PLASTIC BOUL,1000,3.0
2017-04-04,53,HAMPI FOODS,TIRUMALA M.W 10*12,50,100.0
2017-04-04,53,HAMPI FOODS,TIRUMALA M.W 13*16,50,100.0
2017-04-04,53,HAMPI FOODS,SILVER POUCH 8*10,80,80.0
2017-04-04,53,HAMPI FOODS,SNACKS PLATES,200,14.0
2017-04-04,53,HAMPI FOODS,TIFFIN PLATENO-10,200,17.0
2017-04-04,53,HAMPI FOODS,ROYAL NAPKEENS,200,23.0
2017-04-04,53,HAMPI FOODS,PREMIER TISSUES,72,53.0
2017-04-04,53,HAMPI FOODS,LEAF DONA BIG,1,500.0
2017-04-04,53,HAMPI FOODS,LEAF DONA SMALL,1,600.0
2017-04-04,53,HAMPI FOODS,VAT AMOUNT,1,2906.0
2017-04-04,54,VLP,NO-1,25,135.0
2017-04-04,54,VLP,N0-5,25,135.0
2017-04-04,55,SVP-BUCHHI,80 LEAF,9,325.0
2017-04-04,55,SVP-BUCHHI,VISHNU 250ML,200,30.0
2017-04-04,55,SVP-BUCHHI,17*23 SANTOSH,50,30.0
2017-04-04,55,SVP-BUCHHI,DURGA 10*12 BK,400,5.4
2017-04-04,55,SVP-BUCHHI,BULLET 10*12,800,3.9
2017-04-04,55,SVP-BUCHHI,"10"" CLASSIFOAM-1200",1,1440.0
2017-04-04,56,WHITE HORSE,500ML PLASTIC BOULS,200,3.6
2017-04-04,56,WHITE HORSE,250 ML PLASTIC BOUL,200,3.0
2017-04-04,56,WHITE HORSE,SILVER PLATES-5,200,4.0
2017-04-04,56,WHITE HORSE,SILV-750ML-LOOSE,100,2.4
2017-04-04,56,WHITE HORSE,NAPKEEN 2ND,250,10.0
2017-04-04,57,K.SRIHARI,14 GREEN,2000,1.3
2017-04-04,57,K.SRIHARI,12GREEN BUFFET,2000,1.15
2017-04-04,57,K.SRIHARI,16*20(100-W),150,27.0
2017-04-04,58,BCM,VISHNU 250ML,100,30.0
2017-04-04,58,BCM,VISHNU 350ML,100,29.0
2017-04-04,59,MAYURI CATERING,THEROCOL PLATES LOO,250,1.4
2017-04-04,59,MAYURI CATERING,TIFFIN PLATENO-10,10,20.0
2017-04-04,60,LAKSHMINARASIMHA TE,CLASSIC 250ML(100),80,29.0
2017-04-04,61,SVN PLASTICS-BUCHI,BLACK DOG-350ML,100,25.0
2017-04-04,62,TEACHER,LITE FOAM(1200),2,1680.0
2017-04-04,63,TP13,30*50 LINER,20,155.0
2017-04-04,64,NMK,PAPER TEA-65ML,450,16.0
2017-04-04,64,NMK,VISHNU 300ML,200,28.0
2017-04-04,65,SPM PROVISION-DAKKI,DONA -LOOSE,50,20.0
2017-04-04,102,KPR,BLACK DOG-350ML,100,25.0
2017-04-04,200,TP13,CLASSIC 250ML(100),80,28.0
2017-04-04,200,TP13,CLASSIC 250ML,100,23.0
2017-04-04,200,TP13,VISHNU 250ML,100,28.5
2017-04-04,200,TP13,90ML RANGEELA,150,14.5
2017-04-04,200,TP13,VISHNU 300ML,100,27.5
2017-04-04,200,TP13,CLASSIC 300ML,100,24.5
2017-04-04,200,TP13,DONA-VAI-9100,1,1700.0
2017-04-04,200,TP13,CLASSIC ENJOY(750),1,1320.0
2017-04-04,200,TP13,VISHNU 250ML,200,28.5
2017-04-04,200,TP13,BLACK DOG-350ML,100,25.0
2017-04-04,200,TP13,DURGA 10*12 BLUE,400,5.5
2017-04-04,200,TP13,14 GREEN,1000,1.3
2017-04-04,200,TP13,SILVER PLATE 6,200,3.5
2017-04-04,200,TP13,GARBAGE BAGS-LARGE,24,50.0
2017-04-04,200,TP13,LITE FOAM(1200),1,1620.0
2017-04-04,200,TP13,APPLE WINE,110,23.0
2017-04-04,203,BTR,CLASSIC 250ML,100,24.0
2017-04-04,203,BTR,DONA-VAI-9100,1,1730.0
2017-04-04,204,SRINU,APPLE 300ML,100,28.0
2017-04-04,204,SRINU,VISHNU 250ML,100,29.0
2017-04-04,1284,BALAJI PLASTICS,PP,10,132.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,10*12 RK,30,8.5
2017-04-05,66,K.RAVIKUMAR-VGIRI,10*12 KRISHNA-BK(10,30,8.5
2017-04-05,66,K.RAVIKUMAR-VGIRI,13*16 WHITE RK,30,16.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,13*16 BLACK RK,20,17.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,TIRUMALA-50(13*16),100,14.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,4*5 MEET,20,16.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,5*6 POLY,20,21.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,14 GREEN,200,1.35
2017-04-05,66,K.RAVIKUMAR-VGIRI,10*10 MORE,3,140.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,SILVER PLATE 6,10,4.0
2017-04-05,66,K.RAVIKUMAR-VGIRI,DHARAM-15PCS,3,90.0
2017-04-05,67,SRI JYOTHI TRADERS,LITE FOAM(1200),14,1620.0
2017-04-05,67,SRI JYOTHI TRADERS,DONA-VAI-9100,8,1640.0
2017-04-05,67,SRI JYOTHI TRADERS,SMART BOWL(3500),2,1470.0
2017-04-05,68,AVS-NPT,KESAW M.W 16*20,25,105.0
2017-04-05,68,AVS-NPT,13*16 KESHAV M.W,25,105.0
2017-04-05,68,AVS-NPT,KESAW M.W 10*12,25,105.0
2017-04-05,68,AVS-NPT,13*16 BK KRISHNA,500,13.8
2017-04-05,68,AVS-NPT,1000ML CONTAINER,600,7.5
2017-04-05,68,AVS-NPT,10*10 MORE,25,137.0
2017-04-05,68,AVS-NPT,VISHNU 250ML,100,30.0
2017-04-05,68,AVS-NPT,12GREEN BUFFET,1000,1.2
2017-04-05,68,AVS-NPT,LITE FOAM(1200),1,1680.0
2017-04-05,69,RNR,CYCLE-BK-10*12,700,7.0
2017-04-05,69,RNR,TIRUMALA-50(16*20),120,26.0
2017-04-05,69,RNR,13*16 WHITE RK,500,16.0
2017-04-05,69,RNR,CYCLE-BK-10*12,100,7.0
2017-04-05,70,MS WATERPLANT,VISHNU 300ML,600,28.0
2017-04-05,71,SVR,CLASSIC 250ML,100,24.0
2017-04-05,71,SVR,LITE FOAM(1200),1,1680.0
2017-04-05,72,KVK,10*15 STAR-DCUT,35,86.0
2017-04-05,72,KVK,5*6 JANATHA POLY,200,33.0
2017-04-05,72,KVK,4*6 POLY,300,15.5
2017-04-05,72,KVK,SAGAR 80ML,200,11.5
2017-04-05,73,P.RAVI,PAPER TEA-65ML(100),130,28.0
2017-04-05,73,P.RAVI,TIRUMALA-50(13*16),200,14.0
2017-04-05,73,P.RAVI,N0-5,3,145.0
2017-04-05,73,P.RAVI,LOOSE ITEMS,4,10.0
2017-04-05,74,PENCHALAYYA-K,BLACK DOG-350ML,100,24.75
2017-04-05,74,PENCHALAYYA-K,CLASSIC 250ML(100),80,27.6
2017-04-05,74,PENCHALAYYA-K,TIRML-BL-KG-16*20,4,120.0
2017-04-05,74,PENCHALAYYA-K,5*6 POLY,20,20.0
2017-04-05,74,PENCHALAYYA-K,CYCLE-BLU-10*12,50,6.0
2017-04-05,74,PENCHALAYYA-K,CLASSIC 250ML,100,23.0
2017-04-05,75,BSM-VGIRI,VISHNU 250ML,100,30.0
2017-04-05,75,BSM-VGIRI,BLACK DOG-350ML,100,26.0
2017-04-05,75,BSM-VGIRI,CYCLE-BK-10*12,350,7.0
2017-04-05,75,BSM-VGIRI,CYCLE-BK-10*12,50,7.0
2017-04-05,75,BSM-VGIRI,TIRUMALA-50(13*16),200,14.0
2017-04-05,75,BSM-VGIRI,NO-1,10,140.0
2017-04-05,76,VNR,APPLE WATER,500,22.0
2017-04-05,76,VNR,APPLE WINE,440,23.0
2017-04-05,76,VNR,CLASSIC 300ML,300,25.0
2017-04-05,76,VNR,APPLE 300ML,100,28.0
2017-04-05,76,VNR,VISHNU ICE,200,17.0
2017-04-05,76,VNR,DONA-VAI-9100,3,1730.0
2017-04-05,76,VNR,SILVER PLATE(1300),4,1430.0
2017-04-05,76,VNR,500ML PLASTIC BOULS,1000,3.6
2017-04-05,76,VNR,SILV-CONT-750ML(100,2,2350.0
2017-04-05,76,VNR,CLASSIC 250ML,100,22.0
2017-04-05,77,KVKC,TIRUMALA-50(13*16),600,14.0
2017-04-05,78,KARIMULLA-BTTR,13*16 WHITE RK,50,16.0
2017-04-05,78,KARIMULLA-BTTR,TIFFIN PLATES NO-8,30,14.0
2017-04-05,78,KARIMULLA-BTTR,VISHNU 300ML,50,28.0
2017-04-05,78,KARIMULLA-BTTR,BLACK DOG-350ML,30,26.0
2017-04-05,78,KARIMULLA-BTTR,13*16 BK KRISHNA,30,14.0
2017-04-05,78,KARIMULLA-BTTR,90ML RANGEELA,30,15.0
2017-04-05,79,RR,"PINK PLATES-7""",80,8.0
2017-04-05,79,RR,BIG M.W SPOON,30,16.0
2017-04-05,79,RR,TIFFIN PLATENO-10,50,17.0
2017-04-05,80,MVK-SKHT,ROBO 10*12,400,4.8
2017-04-05,80,MVK-SKHT,PREMIUM 13*16 BLUE,650,11.0
2017-04-05,80,MVK-SKHT,GARUDA 16*20 BLUE,60,24.0
2017-04-05,80,MVK-SKHT,17*23 SANTOSH,50,32.0
2017-04-05,80,MVK-SKHT,TIRML-CL-10*12,10,110.0
2017-04-05,80,MVK-SKHT,TIRML-CL-13*16 KG,10,110.0
2017-04-05,80,MVK-SKHT,TIRML-CL-16*20,10,110.0
2017-04-05,80,MVK-SKHT,TIRML-BL-KG-17*23,10,110.0
2017-04-05,80,MVK-SKHT,10*10 TEJA,25,120.0
2017-04-05,80,MVK-SKHT,DHARAM-6PCS,20,120.0
2017-04-05,132,MARKET KOTESWARARAO,APPLE WATER,100,21.5
2017-04-05,132,MARKET KOTESWARARAO,TIRUMALA KIRANA,10,150.0
2017-04-05,205,TP13,"TAPER ROLL 3""100MTR",3,200.0
2017-04-05,205,TP13,DONA -LOOSE,10,25.0
2017-04-05,205,TP13,4*5 MEET,278,14.5
2017-04-05,205,TP13,10*12 SARAS-NAT,600,8.0
2017-04-05,205,TP13,10*10 TIGER,70,132.0
2017-04-05,205,TP13,NO-0,25,148.0
2017-04-05,205,TP13,DURGA 10*12 BLUE,1600,5.5
2017-04-05,205,TP13,CYCLE 13*16 BK KG,25,77.0
2017-04-05,205,TP13,10*12 SARAS-NAT,1500,8.0
2017-04-05,205,TP13,10*12 SARAS-BK,600,8.0
2017-04-05,205,TP13,10*15 STAR-DCUT,35,86.0
2017-04-05,205,TP13,PP,20,130.0
2017-04-05,205,TP13,CLASSIC 250ML(100),80,28.0
2017-04-05,205,TP13,CLASSIC ENJOY(750),1,1320.0
2017-04-05,205,TP13,APPLE 300ML,100,27.5
2017-04-05,205,TP13,N0-5,25,148.0
2017-04-05,205,TP13,DURGA 10*12 BK,400,5.5
2017-04-05,206,BALAJI PLASTICS,SILV-CONT-450ML(150,1,2350.0
2017-04-06,81,VENKATASETTY-PDKR,10*10 SIVA SHEET,25,140.0
2017-04-06,81,VENKATASETTY-PDKR,TIRUMALA-50(16*20),120,26.0
2017-04-06,81,VENKATASETTY-PDKR,CLASSIC 250ML,100,24.0
2017-04-06,82,DVR-CHITWELI,CYCLE-BLU-10*12,350,6.8
2017-04-06,82,DVR-CHITWELI,CYCLE-BLU-10*12,50,6.8
2017-04-06,82,DVR-CHITWELI,LITEFOAM COLOUR(120,1,1720.0
2017-04-06,82,DVR-CHITWELI,10*10 RADHA KRISHNA,25,105.0
2017-04-06,83,PALURU MALAKONDARED,TIRUMALA-50(16*20),70,26.0
